time,mag_avg,mag_std
0.1,0.19925842017010637,0.028813933930681046
0.2,0.42814363924120175,0.020205287264322393
0.30000000000000004,0.5534394401145672,0.01629277935203604
0.4,0.6287889793091203,0.013754621558049625
0.5,0.6774488750899442,0.01186178315104412
0.6000000000000001,0.7105842083399944,0.010380006658900022
0.7000000000000001,0.7340619617112171,0.00919798021566556
0.8,0.7512085465581544,0.008247467450701861
0.9,0.7640308033826192,0.007480482289555631
1.0,0.7738018651236939,0.006860800661628326
1.1,0.7813629897663433,0.006360023442415591
1.2000000000000002,0.7872888962580178,0.005955413886951724
1.3,0.7919831831612077,0.005628562445633868
1.4000000000000001,0.795735890027394,0.005364490810255421
1.5,0.7987595549455194,0.00515100708212587
1.6,0.801212542321635,0.0049782111707783105
1.7000000000000002,0.8032145607279574,0.004838095244372098
1.8,0.8048572379127857,0.00472421008146216
1.9000000000000001,0.8062114812424608,0.004631382541925956
2.0,0.8073326968666669,0.004555476433012751
2.1,0.8082645519620678,0.004493191871714244
2.2,0.8090417267865172,0.004441898997911562
2.3000000000000003,0.8096919543555213,0.004399501899593201
2.4000000000000004,0.810237550062606,0.004364328540639603
2.5,0.8106965710581084,0.004335042579255247
2.6,0.8110837035113865,0.004310573256782247
2.7,0.8114109475990076,0.004290059962094183
2.8000000000000003,0.8116881505740331,0.004272808561481214
2.9000000000000004,0.8119234246516729,0.004258257068494451
3.0,0.812123476802142,0.004245948675089485
3.1,0.8122938706294941,0.004235510555936915
3.2,0.8124392355057637,0.004226637186486145
3.3000000000000003,0.8125634344616103,0.004219077184735828
3.4000000000000004,0.8126696996227194,0.004212622903149049
3.5,0.8127607419583698,0.004207102168701428
3.6,0.8128388405869569,0.004202371703623999
3.7,0.8129059157298814,0.004198311864220052
3.8000000000000003,0.8129635885245193,0.004194822416386345
3.9000000000000004,0.8130132302299148,0.0041918191292670244
4.0,0.813056002834992,0.004189231016931228
4.1000000000000005,0.8130928926713474,0.004186998095353374
4.2,0.8131247383135158,0.004185069550838499
4.3,0.813152253798473,0.004183402238347457
4.4,0.813176047997505,0.00418195944546181
4.5,0.8131966408157527,0.0041807098711526365
4.6000000000000005,0.8132144767688092,0.004179626778974579
4.7,0.8132299363847725,0.0041786872924797595
4.800000000000001,0.8132433457989547,0.004177871807056672
4.9,0.813254984842815,0.004177163497447593
5.0,0.8132650938755684,0.004176547904187408
5.1000000000000005,0.8132738795636029,0.00417601258537493
5.2,0.8132815197776287,0.004175546822710439
5.300000000000001,0.8132881677485804,0.004175141372754156
5.4,0.8132939555995917,0.0041747882559828925
5.5,0.8132989973519013,0.004174480577531639
5.6000000000000005,0.8133033914864288,0.004174212374567867
5.7,0.8133072231294699,0.0041739784861090645
5.800000000000001,0.8133105659199371,0.004173774441798134
5.9,0.8133134836063887,0.00417359636672876
6.0,0.813316031414479,0.00417344089988681
6.1000000000000005,0.8133182572190765,0.004173305124166473
6.2,0.8133202025499842,0.00417318650624267
6.300000000000001,0.8133219034557381,0.004173082844851958
6.4,0.8133233912462032,0.004172992226257325
6.5,0.8133246931315676,0.004172912985860104
6.6000000000000005,0.8133258327726591,0.00417284367507932
6.7,0.8133268307552938,0.0041727830327501865
6.800000000000001,0.8133277049994848,0.004172729960404566
6.9,0.8133284711127169,0.0041726835008900655
7.0,0.8133291426951753,0.004172642819863001
7.1000000000000005,0.8133297316036574,0.004172607189758183
7.2,0.8133302481799056,0.0041725759758948966
7.300000000000001,0.8133307014483129,0.004172548624427116
7.4,0.8133310992872049,0.004172524651886933
7.5,0.8133314485773359,0.004172503636105792
7.6000000000000005,0.8133317553307025,0.004172485208327867
7.7,0.8133320248023562,0.004172469046355404
7.800000000000001,0.8133322615875058,0.004172454868588584
7.9,0.8133324697059041,0.004172442428840541
8.0,0.8133326526752144,0.00417243151182494
8.1,0.8133328135748339,0.004172421929227286
8.200000000000001,0.813332955101443,0.004172413516282949
8.3,0.8133330796173733,0.004172406128795771
8.4,0.8133331891927533,0.004172399640539073
8.5,0.8133332856422332,0.00417239394098984
8.6,0.8133333705570185,0.004172388933352117
8.700000000000001,0.8133334453328093,0.004172384532832623
8.8,0.8133335111941861,0.004172380665135638
8.9,0.813333569215911,0.004172377265148929
9.0,0.8133336203415101,0.004172374275796306
9.1,0.8133336653995419,0.0041723716470351046
9.200000000000001,0.8133337051177945,0.00417236933498029
9.3,0.8133337401357127,0.004172367301138903
9.4,0.813333771015265,0.0041723655117407
9.5,0.8133337982504567,0.004172363937152845
9.600000000000001,0.8133338222756542,0.004172362551367899
9.700000000000001,0.813333843472877,0.004172361331556027
9.8,0.8133338621781837,0.004172360257672727
9.9,0.8133338786872721,0.00417235931211599
10.0,0.8133338932603812,0.0041723584794256165
10.100000000000001,0.8133339061265958,0.0041723577460202966
10.200000000000001,0.813333917487619,0.004172357099967079
10.3,0.8133339275210788,0.00417235653077945
10.4,0.8133339363834403,0.00417235602924048
10.5,0.8133339442125477,0.0041723555872476125
10.600000000000001,0.8133339511298681,0.004172355197676861
10.700000000000001,0.8133339572424564,0.004172354854263505
10.8,0.8133339626446845,0.004172354551497529
10.9,0.8133339674197576,0.004172354284532034
11.0,0.8133339716410489,0.004172354049102573
11.100000000000001,0.8133339753732733,0.004172353841456714
11.200000000000001,0.8133339786735191,0.004172353658291971
11.3,0.8133339815921543,0.00417235349670147
11.4,0.8133339841736276,0.004172353354126102
11.5,0.813333986457165,0.004172353228312595
11.600000000000001,0.8133339884773964,0.004172353117276687
11.700000000000001,0.8133339902648932,0.004172353019270783
